Дата от,Дата до,Тежки катастрофи,Леки катастрофи,Тежко пострадали,Леко пострадали,Пострадали водачи,Пострадали пътници,Пострадали пешеходци,Пострадали мотоциклетисти,Пострадали велосипедисти
2012-09-05,2012-09-09,22,127,1,26,2,2,4,7,3,2
2012-09-04,2012-09-04,2,38,0,3,0,0,1,1,1,0
2012-09-03,2012-09-03,6,49,1,7,0,0,1,4,1,1
2012-08-31,2012-09-02,13,93,3,17,7,7,4,4,1,1
2012-08-30,2012-08-30,4,37,0,5,0,0,0,4,0,0
2012-08-29,2012-08-29,9,53,0,15,5,5,7,3,0,0
2012-08-28,2012-08-28,3,49,0,3,1,1,1,1,0,0
2012-08-27,2012-08-27,4,33,0,5,2,2,2,1,0,0
2012-08-24,2012-03-03,10,87,0,13,6,6,3,4,0,0
2012-03-04,2012-03-04,3,34,1,2,1,1,0,1,0,0
2010-10-21,2010-10-21,4,110,0,4,1,1,3,1,0,0
2010-09-20,2010-09-20,3,107,0,3,0,0,2,1,0,0
2010-08-19,2010-08-19,3,58,0,3,0,0,1,2,0,0
2010-07-22,2010-07-22,4,75,0,4,3,3,0,1,0,0
2010-03-24,2010-03-24,5,86,0,5,1,1,0,3,0,1
2009-04-23,2009-04-23,3,106,0,4,0,0,1,3,0,0
2008-12-29,2008-12-29,1,199,0,2,1,1,1,0,0,0
2008-10-17,2008-10-19,7,365,1,7,2,2,1,4,0,0
2008-09-18,2008-09-18,5,160,0,5,0,0,1,4,0,0
2008-05-13,2008-05-13,4,182,0,5,0,0,0,3,2,0
2008-04-10,2008-04-10,3,149,0,2,1,1,0,2,0,0
2008-03-18,2008-03-18,7,161,1,10,1,1,5,4,0,1
2008-02-14,2008-02-14,4,159,0,4,0,0,0,4,0,0
2008-01-17,2008-01-17,7,186,0,8,2,2,2,4,0,0
2007-12-17,2007-12-17,8,183,1,9,3,3,1,5,0,0
2007-10-18,2007-10-18,6,169,0,6,1,1,1,3,0,1
2007-10-08,2007-10-08,6,144,0,8,3,3,2,2,0,1
2007-10-05,2007-10-07,15,346,0,23,8,8,7,6,2,0
2007-09-19,2007-09-19,5,165,1,7,2,2,3,2,0,0
2007-09-17,2007-09-17,9,202,1,9,0,0,3,3,2,1
2007-09-12,2007-09-12,2,106,0,2,1,1,0,1,0,0
2007-09-04,2007-09-04,2,136,0,3,0,0,1,0,2,0
2007-09-03,2007-09-03,12,273,0,11,2,2,3,5,1,0
2007-08-30,2007-08-30,3,124,0,3,0,0,0,3,0,0
2007-08-24,2007-08-26,14,243,2,16,6,6,7,2,0,1
2007-08-23,2007-08-23,4,116,0,5,1,1,1,3,0,0
2007-08-22,2007-08-22,4,90,1,4,0,0,0,4,0,0
2007-08-21,2007-08-21,4,102,0,4,1,1,0,1,0,2
2007-08-20,2007-08-20,3,119,1,4,0,0,1,2,1,0
2007-08-17,2007-08-19,18,203,3,19,2,2,5,13,2,1
2007-08-16,2007-08-16,5,110,0,6,0,0,1,4,1,0
2007-06-27,2007-06-27,3,120,0,4,0,0,0,4,0,0
2007-06-25,2007-06-25,6,129,0,9,0,0,5,2,2,0
2006-11-28,2006-11-28,2,121,0,2,0,0,0,2,0,0
2005-09-01,2005-09-01,9,127,1,15,4,4,7,4,0,0
2005-04-12,2005-04-12,4,101,0,9,5,5,3,1,0,0
2005-03-17,2005-03-17,5,117,1,6,0,0,2,3,1,0
2005-02-10,2005-02-10,5,129,0,7,2,2,2,3,0,0
2004-12-16,2004-12-16,5,103,0,7,1,1,4,2,0,0
2004-10-15,2004-10-17,11,240,0,11,4,4,2,5,0,0
2004-06-30,2004-06-30,10,82,0,16,4,4,7,3,1,0
2004-05-04,2004-05-04,5,147,0,6,1,1,2,2,1,0
2004-03-10,2004-03-10,3,112,0,5,0,0,3,2,0,0
2003-11-25,2003-11-25,4,102,0,5,1,1,3,1,0,0
2003-09-04,2003-09-04,5,81,0,6,4,4,2,0,1,0
2003-04-29,2003-04-29,3,74,1,3,0,0,0,3,0,0
